image_link,group_id,entity_name,entity_value,Index
https://m.media-amazon.com/images/I/61I9XdN6OFL.jpg,748919,item_weight,500.0 gram,0
https://m.media-amazon.com/images/I/71gSRbyXmoL.jpg,916768,item_volume,1.0 cup,1
https://m.media-amazon.com/images/I/61BZ4zrjZXL.jpg,459516,item_weight,0.709 gram,2
https://m.media-amazon.com/images/I/612mrlqiI4L.jpg,459516,item_weight,0.709 gram,3
https://m.media-amazon.com/images/I/617Tl40LOXL.jpg,731432,item_weight,1400 milligram,4
https://m.media-amazon.com/images/I/61QsBSE7jgL.jpg,731432,item_weight,1400 milligram,5
https://m.media-amazon.com/images/I/81xsq6vf2qL.jpg,731432,item_weight,1400 milligram,6
https://m.media-amazon.com/images/I/71DiLRHeZdL.jpg,731432,item_weight,1400 milligram,7
https://m.media-amazon.com/images/I/91Cma3RzseL.jpg,731432,item_weight,1400 milligram,8
https://m.media-amazon.com/images/I/71jBLhmTNlL.jpg,731432,item_weight,1400 milligram,9
